doesHaveLinks,doesHaveSpammyWords,lengthOfText,numberOfSymbols,numberOfWordsContainingLettersAndNumbers,numberOfWordsContainingOnlyLetters,numberOfWordsContainingOnlyUppercaseLetters,class label
False,False,107,4,0,19,0,ham
False,False,38,0,0,7,0,ham
False,False,27,0,0,5,0,ham
False,False,127,8,1,14,20,ham
False,False,131,9,0,15,1,ham
False,False,23,0,0,6,0,ham
True,True,156,10,4,10,5,spam
False,True,161,5,2,21,0,spam
False,False,25,1,0,4,0,ham
False,False,42,10,0,5,0,ham
False,False,27,2,0,3,0,ham
False,False,22,2,0,3,0,ham
False,False,98,6,0,15,1,ham
False,False,89,3,0,11,0,ham
False,True,147,6,0,20,6,spam
False,False,130,1,0,26,1,ham
True,True,152,13,0,17,2,spam
False,False,215,8,0,35,0,ham
False,False,26,2,0,3,0,ham
False,False,66,14,0,7,0,ham
False,True,149,0,0,25,2,spam
False,False,372,13,0,67,3,ham
False,True,155,0,0,26,2,spam
False,True,162,7,2,18,4,spam
False,False,82,0,1,18,1,ham
False,False,73,3,0,11,0,ham
False,False,76,3,0,9,0,ham
False,True,153,6,2,15,5,spam
False,False,24,4,0,2,0,ham
False,False,231,10,0,35,2,ham
False,False,87,3,0,15,3,ham
False,False,72,8,0,9,1,ham
False,False,105,4,0,17,0,ham
False,True,160,10,2,15,3,spam
False,False,54,2,0,8,2,ham
False,False,58,5,0,9,2,ham
False,False,54,1,0,11,0,ham
False,False,116,5,0,16,20,ham
False,False,88,5,0,13,0,ham
False,True,144,4,0,24,1,spam
False,False,29,1,0,6,0,ham
False,False,136,7,0,22,1,ham
False,False,23,1,0,4,0,ham
False,False,39,0,0,8,0,ham
False,False,35,2,0,6,0,ham
False,False,24,0,0,5,0,ham
False,False,95,4,0,16,2,ham
False,False,73,1,0,17,0,ham
False,False,45,0,0,8,0,ham
True,True,161,4,2,19,1,spam
False,False,159,2,0,28,3,ham
False,True,149,9,0,9,5,spam
False,True,134,4,0,24,1,spam
False,True,154,4,0,25,1,spam
False,False,92,2,0,17,0,ham
False,False,102,8,0,10,0,ham
False,False,31,1,0,7,1,ham
False,False,77,3,0,14,0,ham
False,False,139,19,0,17,4,ham
False,True,158,7,6,17,8,spam
False,False,44,1,0,8,0,ham
False,True,137,5,1,21,2,spam
False,True,132,3,0,19,2,spam
False,True,143,5,1,19,2,spam
True,True,127,9,0,14,0,spam
False,False,276,9,0,48,2,ham
False,False,78,5,0,13,2,ham
False,False,27,0,0,6,0,ham
False,False,79,1,0,15,0,ham
False,False,24,1,0,2,0,ham
False,False,52,2,0,12,2,ham
False,False,68,5,0,10,2,ham
False,False,24,0,0,3,0,ham
False,False,44,1,0,7,0,ham
False,False,24,1,0,4,0,ham
False,False,55,4,0,8,1,ham
False,False,62,7,0,2,0,ham
False,False,104,5,0,19,1,ham
False,False,87,7,0,12,0,ham
False,False,148,8,0,22,0,ham
False,False,49,1,0,9,0,ham
False,False,154,7,0,25,1,ham
False,False,56,4,0,6,0,ham
False,True,124,5,0,17,2,spam
False,False,126,2,0,20,0,ham
False,False,43,2,0,7,0,ham
False,False,77,2,0,16,3,ham
False,False,49,4,0,7,0,ham
False,False,84,2,0,12,0,ham
False,False,49,2,0,7,0,ham
False,True,162,6,0,20,2,spam
False,False,79,2,0,14,0,ham
False,False,31,0,0,6,6,ham
False,True,155,11,3,16,0,spam
False,False,146,4,0,32,2,ham
False,False,23,1,0,5,1,ham
False,False,160,11,0,24,4,ham
False,False,62,2,0,10,0,ham
False,False,39,2,0,7,0,ham
False,False,67,0,0,15,1,ham
False,False,73,1,0,12,0,ham
False,False,148,11,0,21,1,ham
False,False,88,2,0,15,0,ham
False,False,37,1,0,8,0,ham
False,False,23,0,0,6,0,ham
False,False,56,2,0,10,0,ham
False,False,53,2,0,8,1,ham
False,False,73,5,0,9,0,ham
False,False,80,4,0,9,0,ham
False,False,44,8,0,4,1,ham
False,False,92,5,0,15,2,ham
False,False,35,4,0,5,0,ham
False,False,23,1,0,5,0,ham
False,True,140,6,4,16,0,spam
False,False,106,8,0,13,0,ham
False,False,103,1,0,20,0,ham
False,False,34,0,0,7,0,ham
False,False,77,2,0,14,1,ham
False,True,159,5,5,14,3,spam
False,False,26,3,0,4,0,ham
False,False,47,4,0,4,0,ham
False,False,24,4,0,2,0,ham
False,True,149,6,4,12,4,spam
False,False,133,4,0,22,1,ham
False,False,126,6,0,20,0,ham
False,False,78,2,0,12,0,ham
False,True,132,5,1,21,2,spam
False,False,116,1,0,23,0,ham
False,False,221,4,0,39,2,ham
False,False,59,4,0,10,1,ham
False,True,137,8,2,14,5,spam
False,False,143,4,0,27,0,ham
False,False,24,0,0,6,0,ham
False,False,38,1,0,8,0,ham
False,False,42,2,0,4,0,ham
False,False,24,6,0,3,0,ham
False,False,157,9,0,21,2,ham
False,False,47,1,0,8,0,ham
False,True,41,0,0,7,1,spam
False,False,122,13,0,20,0,ham
False,False,126,7,0,17,0,ham
False,False,26,0,0,4,0,ham
False,False,114,4,0,21,0,ham
False,False,7,1,0,1,0,ham
False,False,34,2,0,6,1,ham
False,True,157,5,3,19,4,spam
False,False,92,8,0,11,0,ham
False,False,90,3,0,14,0,ham
False,False,22,0,0,5,0,ham
False,False,85,6,0,16,0,ham
False,False,63,3,0,12,2,ham
False,False,220,9,0,38,10,ham
False,False,41,1,0,7,0,ham
False,False,60,3,0,10,0,ham
False,False,88,4,0,15,2,ham
False,False,31,1,0,5,0,ham
False,False,37,1,0,8,0,ham
False,False,28,1,0,4,0,ham
False,False,24,3,0,4,0,ham
False,False,118,1,0,26,1,ham
False,False,22,0,0,6,0,ham
False,False,210,2,0,41,0,ham
False,False,50,8,0,6,0,ham
False,False,49,2,0,6,1,ham
False,False,87,2,0,14,0,ham
False,False,61,2,0,11,0,ham
False,True,141,7,1,12,2,spam
False,False,54,1,0,11,12,ham
False,False,28,0,0,6,1,ham
False,False,49,6,0,7,0,ham
False,False,53,9,0,7,1,ham
False,False,145,13,0,21,3,ham
False,False,162,13,4,15,1,ham
False,False,53,3,0,9,0,ham
False,False,12,0,1,2,2,ham
False,False,142,4,2,25,1,ham
False,False,73,10,0,13,2,ham
False,False,129,11,0,20,1,ham
False,False,33,4,0,4,2,ham
False,False,47,7,0,5,0,ham
False,False,72,3,0,14,0,ham
False,False,148,5,0,26,0,ham
False,False,107,5,0,24,3,ham
False,False,41,1,0,7,0,ham
False,False,23,4,0,2,0,ham
False,True,149,2,3,17,2,spam
False,False,104,8,0,12,0,ham
False,False,45,6,0,6,1,ham
False,False,26,1,0,4,0,ham
False,False,37,0,0,9,0,ham
False,True,150,6,2,13,3,spam
False,False,132,7,1,23,3,ham
False,False,63,10,0,0,0,ham
False,False,108,7,0,14,0,ham
False,False,93,0,0,21,2,ham
False,False,43,2,0,8,1,ham
False,False,46,6,0,8,2,ham
False,False,56,3,0,9,1,ham
False,False,37,4,0,3,0,ham
False,False,124,7,0,12,0,ham
True,True,158,6,4,19,3,spam
False,False,38,1,0,8,0,ham
False,False,53,7,0,7,1,ham
False,False,31,3,0,4,0,ham
False,False,224,9,0,36,3,ham
False,True,156,4,2,18,0,spam
False,False,24,1,0,4,0,ham
False,False,24,0,0,6,0,ham
False,False,52,2,0,6,0,ham
False,False,48,2,0,8,2,ham
False,False,28,1,0,6,0,ham
False,False,43,2,0,7,1,ham
False,False,49,3,0,9,0,ham
False,False,26,2,0,4,0,ham
False,False,58,2,0,9,0,ham
False,False,17,3,0,2,0,ham
False,False,26,1,1,5,6,ham
False,False,127,9,0,18,5,ham
False,False,103,0,1,19,20,ham
False,False,157,11,0,25,1,ham
False,False,34,1,0,5,0,ham
False,False,128,11,0,16,0,ham
False,False,142,5,0,24,2,ham
False,False,51,2,0,8,0,ham
False,False,60,1,0,12,0,ham
False,False,30,2,0,4,0,ham
False,False,41,3,0,5,0,ham
False,False,103,3,0,21,0,ham
False,True,101,3,2,13,1,spam
False,False,19,3,0,1,0,ham
False,False,112,6,0,13,0,ham
False,True,104,6,1,15,7,spam
False,False,78,2,0,15,2,ham
False,True,135,3,1,20,4,spam
False,False,41,1,1,7,0,ham
False,False,46,1,1,9,0,ham
False,False,136,3,0,22,1,ham
False,False,46,1,0,5,0,ham
False,False,157,6,0,26,31,ham
False,False,24,2,0,3,0,ham
False,False,17,1,0,3,0,ham
False,False,20,2,0,2,1,ham
False,False,84,5,0,11,1,ham
False,True,153,7,2,21,16,spam
False,False,63,5,0,3,0,ham
False,False,155,4,0,25,1,ham
False,False,122,5,0,21,0,ham
True,True,143,5,1,20,4,spam
False,False,50,3,0,7,0,ham
False,False,25,1,0,4,0,ham
False,False,44,2,0,8,1,ham
False,False,65,3,0,13,0,ham
False,True,134,3,3,17,7,spam
False,False,21,3,0,2,0,ham
False,False,47,2,0,7,0,ham
False,True,157,5,3,19,4,spam
False,True,90,3,0,14,2,spam
False,False,135,4,0,21,0,ham
False,False,39,0,0,9,0,ham
False,False,83,6,0,11,0,ham
False,False,44,2,0,5,0,ham
False,False,28,1,0,4,0,ham
False,False,24,0,0,5,0,ham
False,False,67,3,0,9,1,ham
False,False,67,1,0,14,0,ham
False,False,33,1,0,7,0,ham
False,False,24,3,0,4,0,ham
False,False,119,3,0,25,0,ham
False,False,910,22,0,151,5,ham
False,False,158,10,2,25,5,ham
False,False,35,2,0,5,1,ham
False,False,24,0,0,5,1,ham
False,True,153,9,6,13,2,spam
False,False,53,5,0,6,0,ham
False,True,147,2,3,17,3,spam
False,False,72,2,0,13,0,ham
False,False,19,1,0,3,0,ham
False,False,188,7,0,30,0,ham
False,False,71,5,0,12,2,ham
False,False,23,2,0,1,0,ham
False,True,142,2,1,21,1,spam
False,False,160,9,0,22,0,ham
False,False,73,3,0,13,2,ham
False,False,106,4,0,17,1,ham
False,False,80,1,0,16,1,ham
False,False,105,5,0,16,0,ham
False,False,43,7,0,8,2,ham
False,False,68,4,0,11,1,ham
True,True,159,7,1,20,1,spam
False,False,32,1,0,6,0,ham
False,False,159,13,0,27,2,ham
False,False,140,1,0,27,0,ham
False,False,101,7,0,17,3,ham
False,False,31,7,0,1,1,ham
False,False,23,0,0,5,0,ham
False,False,58,2,1,9,0,ham
False,False,37,0,0,8,0,ham
False,False,61,3,0,12,1,ham
False,False,60,5,0,7,0,ham
False,False,54,1,0,9,0,ham
False,False,69,5,0,11,0,ham
False,True,70,4,1,6,0,spam
False,False,72,2,0,13,0,ham
False,True,156,6,3,18,3,spam
False,False,40,2,0,4,0,ham
False,True,153,0,0,26,1,spam
False,False,36,5,0,3,0,ham
False,False,35,2,0,4,0,ham
False,False,34,3,0,5,0,ham
True,True,156,6,2,21,2,spam
False,False,79,3,0,13,0,ham
False,False,113,9,0,20,1,ham
False,True,105,4,3,12,2,spam
False,False,64,2,0,9,0,ham
False,False,25,3,0,3,0,ham
False,False,22,2,0,2,0,ham
False,False,35,2,0,4,0,ham
False,False,156,13,0,23,3,ham
False,False,58,3,0,9,1,ham
False,False,31,0,0,8,2,ham
False,True,120,4,1,16,1,spam
False,False,24,3,0,5,1,ham
False,False,17,2,0,2,0,ham
False,False,152,9,0,13,1,ham
False,False,41,3,0,5,0,ham
False,True,158,13,2,16,3,spam
False,False,80,2,0,15,0,ham
False,False,85,3,0,15,0,ham
False,False,115,13,0,19,3,ham
False,True,115,3,0,13,1,spam
False,False,25,7,0,4,1,ham
False,False,45,5,0,7,0,ham
False,False,70,7,0,8,0,ham
False,False,22,0,0,6,0,ham
False,False,43,3,0,7,0,ham
False,False,22,2,0,2,0,ham
False,False,22,3,0,4,0,ham
False,True,140,8,4,19,1,spam
False,False,72,2,0,13,1,ham
False,False,91,2,0,16,1,ham
False,False,70,6,0,11,0,ham
False,False,140,5,0,21,1,ham
False,False,31,7,0,1,0,ham
False,False,52,6,0,6,0,ham
False,False,40,0,0,8,0,ham
False,False,23,1,0,5,2,ham
False,True,155,6,2,21,2,spam
False,False,145,14,0,16,2,ham
False,False,54,2,0,7,0,ham
False,False,43,1,0,10,1,ham
False,False,30,0,0,7,1,ham
False,False,39,2,0,6,0,ham
False,False,71,4,0,14,0,ham
False,False,146,4,0,26,3,ham
False,False,73,1,0,13,0,ham
False,True,159,10,1,24,4,spam
False,False,23,1,0,3,0,ham
False,False,26,1,0,6,1,ham
False,False,59,2,0,9,0,ham
False,False,150,7,1,26,2,ham
False,False,167,3,0,33,5,ham
False,False,26,2,0,6,0,ham
False,False,66,3,0,9,0,ham
False,False,35,1,0,7,0,ham
False,False,26,3,0,2,0,ham
False,False,26,1,0,4,0,ham
False,False,49,6,0,8,1,ham
False,False,38,1,0,8,0,ham
False,False,36,2,0,6,0,ham
False,False,18,2,0,1,0,ham
False,False,48,7,0,5,0,ham
False,False,68,2,0,13,0,ham
False,False,73,3,0,9,0,ham
False,False,49,1,0,10,1,ham
False,False,13,4,0,0,0,ham
False,False,63,2,0,12,0,ham
False,False,133,3,0,24,1,ham
False,True,155,7,1,21,2,spam
False,False,13,6,0,1,1,ham
False,True,49,1,0,5,0,spam
False,False,74,2,0,13,0,ham
False,False,48,2,0,9,1,ham
False,False,138,5,1,26,0,ham
False,False,164,25,0,15,1,ham
False,False,40,3,0,5,0,ham
False,False,20,0,0,5,1,ham
False,False,61,2,1,9,0,ham
False,False,61,3,0,7,0,ham
True,True,147,6,3,19,2,spam
False,False,130,3,0,22,1,ham
False,True,148,8,2,20,3,spam
False,False,37,3,0,8,1,ham
False,False,31,0,0,6,0,ham
False,False,27,1,0,6,0,ham
False,False,41,2,0,6,0,ham
False,False,49,0,0,12,0,ham
False,False,52,2,0,9,0,ham
False,False,124,6,0,20,2,ham
False,False,63,3,0,10,0,ham
False,False,85,5,0,10,2,ham
False,True,50,2,0,5,0,spam
False,False,70,1,0,14,0,ham
False,False,55,8,0,5,0,ham
False,False,119,5,1,19,0,ham
False,True,143,7,3,20,3,spam
False,False,22,1,0,3,0,ham
False,False,43,2,0,7,0,ham
False,False,46,0,0,8,0,ham
False,True,146,3,1,20,1,spam
False,False,75,3,1,10,0,ham
True,True,159,3,2,21,5,spam
False,False,43,3,0,6,0,ham
True,True,123,5,1,14,4,spam
False,False,31,3,0,4,0,ham
False,False,76,7,0,12,1,ham
False,False,51,4,0,9,0,ham
False,False,27,2,1,3,0,ham
False,False,34,3,0,4,0,ham
False,False,127,10,2,14,0,ham
False,False,136,12,0,15,0,ham
False,False,24,1,0,4,0,ham
False,False,33,1,0,8,0,ham
False,False,63,2,0,9,0,ham
False,False,96,3,0,16,0,ham
False,False,53,3,0,10,1,ham
False,False,59,4,0,9,1,ham
False,False,52,0,0,10,0,ham
False,False,45,5,0,6,0,ham
False,False,34,4,0,3,0,ham
False,False,53,0,0,10,0,ham
False,False,111,6,2,13,1,ham
False,False,60,3,0,10,0,ham
False,False,152,7,3,19,25,ham
False,False,55,5,0,6,1,ham
False,False,84,2,0,14,2,ham
False,True,81,0,0,12,1,spam
False,False,87,0,0,20,0,ham
False,False,84,6,0,15,0,ham
False,False,26,1,0,4,0,ham
False,False,58,2,0,10,0,ham
False,False,46,6,0,5,0,ham
False,False,43,2,0,8,0,ham
False,False,24,2,0,3,0,ham
False,False,97,1,0,17,1,ham
False,False,70,5,0,9,0,ham
False,False,179,8,0,27,0,ham
False,True,120,7,2,13,0,spam
False,False,54,5,0,8,0,ham
False,False,26,0,0,7,1,ham
False,False,156,4,1,14,0,ham
False,False,47,1,0,8,1,ham
False,False,48,2,0,6,8,ham
False,True,147,2,2,21,6,spam
False,False,40,3,0,5,0,ham
False,False,81,3,0,17,0,ham
False,False,116,0,0,26,0,ham
False,False,5,3,0,0,0,ham
False,True,66,5,1,7,1,spam
False,False,81,4,0,14,0,ham
False,False,20,1,0,4,0,ham
False,False,13,3,0,2,0,ham
False,False,37,0,0,8,0,ham
False,False,66,6,0,11,2,ham
False,False,69,4,0,11,1,ham
False,False,55,1,0,12,0,ham
False,False,45,2,0,7,1,ham
False,False,159,15,0,28,1,ham
False,False,25,2,0,3,0,ham
False,False,28,3,0,3,0,ham
False,False,40,1,0,6,0,ham
False,False,156,3,0,28,0,ham
False,False,138,4,0,29,1,ham
False,False,24,1,0,5,0,ham
False,False,70,10,3,5,0,ham
False,False,62,6,0,11,1,ham
False,False,86,3,0,14,1,ham
False,False,174,3,0,32,1,ham
False,False,48,6,0,6,0,ham
False,False,48,2,0,8,1,ham
False,False,25,1,0,5,6,ham
False,False,54,2,0,8,1,ham
False,False,38,3,1,7,2,ham
False,False,46,0,0,9,1,ham
False,False,64,3,0,9,0,ham
False,False,133,1,0,22,0,ham
False,False,36,3,0,6,1,ham
False,False,132,3,1,25,29,ham
False,False,51,1,0,10,1,ham
False,False,48,3,0,5,0,ham
False,False,62,2,0,9,0,ham
False,True,163,9,2,15,0,spam
True,True,155,7,1,18,1,spam
False,False,48,4,0,9,3,ham
False,False,39,4,0,5,0,ham
False,False,103,6,0,17,0,ham
False,False,83,3,0,17,1,ham
False,False,84,3,0,15,2,ham
False,False,39,1,0,7,0,ham
False,False,122,5,0,19,0,ham
False,False,154,11,0,22,1,ham
False,False,36,1,0,6,0,ham
False,True,140,5,0,19,1,spam
False,False,5,3,0,0,0,ham
False,False,30,1,0,5,0,ham
False,False,57,3,0,8,0,ham
False,False,54,5,0,7,1,ham
False,False,34,5,0,5,0,ham
False,False,85,4,0,15,2,ham
False,False,139,5,1,25,1,ham
False,False,35,1,0,6,0,ham
False,False,31,2,0,4,0,ham
False,True,126,8,2,17,1,spam
False,False,48,2,0,9,0,ham
False,False,94,1,0,20,1,ham
False,False,27,2,0,4,0,ham
False,False,28,0,0,6,0,ham
False,False,41,8,0,4,1,ham
False,False,42,10,0,4,1,ham
False,False,150,6,0,30,2,ham
False,False,162,9,0,24,1,ham
False,False,82,2,1,15,1,ham
False,False,45,4,0,8,1,ham
False,False,56,3,0,8,1,ham
False,False,41,4,0,4,0,ham
False,False,23,1,0,4,0,ham
False,False,112,2,1,20,0,ham
False,False,38,1,0,6,0,ham
False,False,160,8,0,25,1,ham
False,False,32,0,0,4,0,ham
False,False,47,0,0,9,0,ham
False,False,82,2,0,16,1,ham
False,False,25,1,0,4,0,ham
False,False,51,3,0,6,0,ham
False,True,155,7,3,17,2,spam
False,False,22,3,0,3,0,ham
False,False,30,1,0,5,0,ham
False,False,121,6,1,22,2,ham
False,False,53,3,0,6,0,ham
False,False,84,6,0,15,2,ham
False,False,24,0,0,5,0,ham
False,False,81,0,0,16,1,ham
False,False,152,4,0,28,1,ham
False,False,131,3,1,22,0,ham
False,False,327,28,0,50,0,ham
False,False,49,0,0,10,0,ham
False,False,65,3,0,9,1,ham
False,False,29,1,0,5,0,ham
False,False,207,6,0,36,0,ham
False,False,114,6,0,20,1,ham
False,True,101,3,4,12,7,spam
False,False,49,1,1,9,0,ham
False,False,108,5,0,15,2,ham
False,False,36,5,0,2,0,ham
False,False,32,1,0,5,0,ham
False,False,50,2,0,8,0,ham
False,False,80,1,0,17,2,ham
False,False,141,18,3,14,0,ham
False,True,151,11,1,18,0,spam
True,True,154,11,4,10,5,spam
False,False,23,1,0,3,0,ham
False,False,40,0,0,8,0,ham
False,True,159,6,2,16,0,spam
False,False,25,3,0,3,0,ham
False,True,143,7,3,20,3,spam
False,False,22,0,0,7,0,ham
False,False,153,11,0,23,0,ham
False,False,72,0,0,18,0,ham
False,False,203,9,0,28,0,ham
False,False,275,30,1,40,2,ham
False,False,115,5,0,18,1,ham
False,False,27,1,0,5,0,ham
False,False,139,4,0,24,0,ham
False,False,46,2,0,8,0,ham
False,False,115,9,0,18,0,ham
False,False,155,6,0,30,2,ham
False,False,35,1,0,5,0,ham
False,False,82,11,0,11,0,ham
False,False,7,2,0,1,0,ham
False,False,36,1,0,5,1,ham
False,False,73,2,0,12,1,ham
False,False,24,1,0,4,0,ham
False,False,49,6,0,8,0,ham
False,False,48,1,0,9,1,ham
False,False,155,10,0,21,3,ham
False,False,93,1,0,17,1,ham
False,False,99,16,0,12,0,ham
False,False,155,10,0,21,3,ham
False,False,48,2,0,6,0,ham
False,False,42,1,0,6,0,ham
False,False,24,5,0,1,0,ham
False,False,163,8,1,20,25,spam
False,False,30,0,0,7,0,ham
False,False,44,2,0,6,0,ham
False,False,24,0,0,5,0,ham
False,False,34,1,0,5,0,ham
False,False,144,5,0,23,0,ham
False,False,179,11,0,28,0,ham
False,True,143,8,1,16,3,spam
False,False,52,1,0,10,0,ham
False,False,82,0,0,17,0,ham
False,False,39,4,0,4,0,ham
False,False,80,9,0,15,0,ham
False,False,35,2,0,7,0,ham
False,False,80,8,0,11,0,ham
False,False,41,3,0,4,0,ham
False,False,27,1,0,6,0,ham
True,True,152,3,3,17,2,spam
False,False,32,1,0,5,0,ham
False,False,33,4,0,4,0,ham
False,False,41,6,0,6,0,ham
False,False,5,3,0,0,0,ham
False,False,126,3,0,20,22,ham
False,False,152,3,0,26,0,ham
False,True,71,3,0,9,0,spam
False,False,141,6,0,26,0,ham
False,False,122,4,0,18,1,ham
False,False,38,1,0,6,0,ham
False,False,63,2,0,11,0,ham
False,False,47,1,0,9,1,ham
False,False,22,3,0,3,0,ham
False,False,115,5,0,17,1,ham
False,False,71,5,0,12,0,ham
False,False,34,3,0,3,0,ham
False,False,72,1,0,15,1,ham
False,False,132,19,0,12,5,ham
False,False,26,4,0,1,0,ham
False,False,38,3,0,8,0,ham
True,True,141,5,3,15,3,spam
False,False,25,0,0,3,0,ham
False,False,27,0,0,6,1,ham
False,False,159,3,1,29,1,ham
False,False,107,2,0,16,1,ham
False,True,142,0,2,24,1,spam
False,False,13,1,1,1,0,ham
False,False,25,1,0,4,0,ham
False,False,65,5,0,8,2,ham
False,False,33,2,0,4,1,ham
False,False,23,1,0,2,0,ham
False,False,53,3,0,9,1,ham
False,True,159,4,1,23,3,spam
False,False,104,9,0,15,2,ham
False,True,154,3,2,21,5,spam
False,False,149,4,1,30,0,ham
False,True,81,0,0,13,0,spam
False,False,144,9,0,20,0,ham
False,False,51,3,0,7,0,ham
False,True,153,7,3,16,3,spam
False,False,114,12,0,19,4,ham
False,False,131,5,0,23,0,ham
False,True,159,9,6,13,5,spam
False,False,174,16,0,20,3,ham
False,False,42,1,0,7,1,ham
False,True,161,3,2,23,4,spam
False,False,151,5,7,20,2,ham
False,False,37,0,0,7,0,ham
False,False,61,2,0,9,2,ham
False,False,74,2,0,13,1,ham
False,False,93,3,0,18,1,ham
False,False,141,7,0,24,0,ham
False,False,85,8,0,9,0,ham
False,False,78,3,0,15,0,ham
False,False,33,0,0,7,0,ham
False,False,90,2,0,17,1,ham
False,False,147,4,0,25,0,ham
False,False,33,1,0,5,0,ham
False,False,32,2,0,4,0,ham
False,False,5,3,0,0,0,ham
False,False,149,3,0,22,0,ham
False,False,22,2,0,2,0,ham
False,False,132,5,0,25,3,ham
False,False,154,6,0,27,1,ham
False,False,31,2,0,5,1,ham
False,False,51,1,0,8,0,ham
False,False,18,2,0,3,0,ham
False,False,172,4,0,30,0,ham
True,True,130,7,1,14,2,spam
False,False,76,2,0,13,0,ham
False,False,78,11,0,10,0,ham
False,False,112,3,0,19,0,ham
False,False,58,3,0,10,0,ham
False,False,158,6,0,28,0,ham
False,False,60,6,0,8,0,ham
False,False,154,3,0,26,0,ham
False,True,154,9,2,18,4,spam
False,False,34,2,0,3,1,ham
False,True,122,1,3,17,7,spam
False,False,26,3,0,3,0,ham
False,False,31,6,0,4,0,ham
False,False,26,2,0,4,0,ham
False,False,64,2,0,9,0,ham
False,True,121,3,0,21,2,spam
False,False,179,11,0,28,0,ham
False,False,56,0,0,9,0,ham
False,False,148,5,0,30,0,ham
False,False,90,6,0,12,0,ham
False,False,110,4,0,18,0,ham
False,False,458,14,0,83,2,ham
False,False,36,1,0,5,0,ham
False,False,28,7,0,1,0,ham
False,False,33,2,0,5,1,ham
False,False,51,3,0,10,1,ham
False,True,157,3,0,25,0,spam
False,False,45,1,0,9,0,ham
False,False,37,2,0,5,0,ham
False,True,159,8,3,20,4,spam
False,False,39,1,0,7,0,ham
False,False,96,4,0,19,1,ham
False,False,15,3,0,2,0,ham
False,False,29,3,0,3,0,ham
False,False,32,1,0,6,0,ham
False,False,152,10,0,31,4,ham
False,False,29,2,0,3,0,ham
False,False,36,2,0,5,0,ham
False,False,54,0,0,10,1,ham
False,False,29,1,0,4,1,ham
False,False,47,4,0,7,1,ham
False,False,172,4,0,32,0,ham
False,False,32,6,0,4,1,ham
False,False,22,2,0,3,0,ham
False,True,150,7,3,21,1,spam
False,False,91,5,0,14,0,ham
False,False,53,2,0,8,0,ham
False,False,24,0,0,4,0,ham
False,False,121,4,0,20,2,ham
False,False,36,1,0,6,1,ham
False,False,212,13,0,32,7,ham
False,False,25,2,0,3,0,ham
True,True,156,11,0,15,1,spam
False,False,59,2,0,8,0,ham
False,False,155,8,0,27,0,ham
False,False,37,6,0,4,0,ham
False,False,79,6,0,15,0,ham
False,False,24,1,0,5,0,ham
False,False,50,1,0,10,0,ham
False,False,75,2,0,14,0,ham
False,False,41,2,0,8,1,ham
False,False,8,3,0,1,1,ham
False,False,36,1,0,7,0,ham
False,False,31,2,0,5,0,ham
False,False,73,1,0,13,0,ham
False,False,127,5,0,23,0,ham
False,False,14,1,0,3,0,ham
False,False,97,3,0,20,2,ham
False,False,71,8,0,8,0,ham
False,False,92,2,0,17,0,ham
False,False,63,5,0,7,0,ham
False,False,58,1,0,11,0,ham
False,False,46,2,0,9,0,ham
False,False,26,1,0,3,0,ham
False,False,143,19,1,21,0,ham
False,False,29,1,0,7,2,ham
False,False,31,2,0,3,0,ham
False,False,156,3,3,19,2,ham
False,False,37,1,0,7,1,ham
False,False,63,6,0,9,0,ham
False,False,33,1,0,3,0,ham
False,True,145,8,3,13,2,spam
False,True,149,8,2,17,7,spam
False,False,104,3,0,21,0,ham
False,False,58,13,0,6,0,ham
False,False,62,4,0,10,2,ham
False,False,184,4,0,34,0,ham
False,False,611,133,0,45,2,ham
False,False,61,3,0,9,1,ham
False,False,62,3,0,10,1,ham
False,False,64,0,0,11,0,ham
False,False,47,5,1,5,0,ham
False,False,92,9,0,14,0,ham
False,False,22,2,0,2,0,ham
False,False,338,9,1,63,1,ham
False,False,86,0,0,15,0,ham
False,False,159,7,0,27,6,ham
False,False,30,2,0,5,0,ham
False,False,105,5,0,20,2,ham
False,False,148,19,0,20,0,ham
False,False,30,4,0,2,0,ham
False,False,52,0,0,10,0,ham
False,True,136,9,0,8,4,spam
False,False,152,7,0,22,0,ham
False,False,43,1,0,7,0,ham
False,True,146,2,1,24,0,spam
False,True,144,4,3,15,2,spam
False,False,35,2,0,7,0,ham
False,False,47,1,0,8,1,ham
False,False,25,2,0,2,0,ham
False,False,127,2,0,25,0,ham
False,False,25,4,0,2,0,ham
False,False,143,5,2,21,0,ham
False,False,128,3,1,15,3,ham
False,False,24,1,0,4,0,ham
False,False,43,7,0,5,0,ham
False,False,99,5,1,15,0,ham
False,False,152,6,0,30,0,ham
False,False,37,2,0,6,0,ham
False,False,32,1,0,6,0,ham
False,False,3,0,0,0,0,ham
True,True,153,13,0,12,0,spam
False,False,28,2,1,4,0,ham
False,False,55,3,0,7,0,ham
False,False,28,0,0,8,0,ham
False,False,121,2,0,23,2,ham
False,False,29,1,0,5,0,ham
False,False,115,6,0,19,0,ham
False,False,39,0,0,9,0,ham
False,False,154,17,0,29,3,ham
False,False,148,16,0,16,1,ham
False,True,132,3,0,19,2,spam
False,False,44,3,0,3,0,ham
False,True,71,2,0,10,0,spam
False,False,156,6,0,26,1,ham
False,False,25,2,0,4,0,ham
False,True,147,6,2,18,3,spam
False,False,41,4,0,6,1,ham
False,False,83,2,0,15,0,ham
False,False,45,3,2,7,1,ham
False,False,73,3,0,11,0,ham
False,False,158,10,0,25,1,ham
